image_path,class_id,true_class,pred_class,confidence,is_correct
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131813.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9993,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131815.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9994,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131816.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9986,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131818.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9959,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131825.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9990,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131829.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9990,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131834.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9994,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131837.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9997,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131843.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9995,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131848.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9967,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131850.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9931,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131922.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9517,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131921.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9904,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417132027.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9972,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417132017.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9936,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417132014.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9983,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131959.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9996,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131957.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9994,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417132006.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9998,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417132112.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9997,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417132110.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9996,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417132109.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9997,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417132104.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,1.0000,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417132102.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9998,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131942.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,1.0000,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131943.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,1.0000,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131946.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9906,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131947.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9847,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131949.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9982,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131909.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9997,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131907.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9994,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417131906.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9995,True
/mnt/backups/andycw/M58/Real_all_nobg/M58-Encoder側走行機身/20240417132013.jpg,0,M58-Encoder側走行機身,M58-Encoder側走行機身,0.9998,True
