class_id,class_name,total_imgNum,top1_correct,top1_acc
0,M58-Encoder側走行機身,51,51,100.00%
1,M58-FORK定位固定片,15,4,26.67%
2,M58-FORK定位檢知片,15,0,0.00%
3,M58-FORK驅動軸心,36,8,22.22%
4,M58-Fork機身-1,27,3,11.11%
5,M58-Fork機身-2,38,19,50.00%
6,M58-Fork馬達固定板,39,5,12.82%
7,M58-下封板,31,12,38.71%
8,M58-下方護蓋1(從動側),30,15,50.00%
9,M58-乘載板,41,36,87.80%
10,M58-乘載板導條,39,2,5.13%
11,M58-側邊導輪固定座擋塊,21,7,33.33%
12,M58-側邊導輪固定板,12,8,66.67%
13,M58-加熱器固定板,25,9,36.00%
14,M58-封板支撐柱,14,1,7.14%
15,M58-導向輪軸心,25,6,24.00%
16,M58-從動側FORK機身,38,32,84.21%
17,M58-從動側走行機身,30,12,40.00%
18,M58-拖鏈封蓋,58,21,36.21%
19,M58-擺臂下擋塊,26,3,11.54%
20,M58-擺臂部檢知管,19,12,63.16%
21,M58-擺臂部軸心,25,23,92.00%
22,M58-擺臂部軸承座,30,0,0.00%
23,M58-擺臂部馬達固定座,27,24,88.89%
24,M58-毛刷,15,8,53.33%
25,M58-毛刷連接板,17,15,88.24%
26,M58-煞車電阻盤,33,12,36.36%
27,M58-皮帶拖板,22,10,45.45%
28,M58-皮帶支撐片,23,0,0.00%
29,M58-調整螺絲固定塊,27,1,3.70%
30,M58-走行從動輪固定座,66,11,16.67%
31,M58-走行馬達固定座,28,23,82.14%
32,M58-走行馬達套管,22,14,63.64%
33,M58-車身連接補強鋁擠型,42,8,19.05%
34,M58-電池固定架1,28,22,78.57%
35,M58-電池固定架2,20,15,75.00%
36,M58-驅動側外殼,28,11,39.29%
,AVERAGE,1083,463,42.75%
