Class,Accuracy (%),Total Samples
0,58.82352941176471,51
1,100.0,15
2,100.0,15
3,19.444444444444446,36
4,14.814814814814813,27
5,10.526315789473683,38
6,64.1025641025641,39
7,0.0,31
8,0.0,30
9,60.97560975609756,41
10,17.94871794871795,39
11,100.0,21
12,91.66666666666666,12
13,100.0,25
14,28.57142857142857,14
15,96.0,25
16,57.89473684210527,38
17,86.66666666666667,30
18,5.172413793103448,58
19,0.0,26
20,68.42105263157895,19
21,100.0,25
22,0.0,30
23,96.29629629629629,27
24,100.0,15
25,94.11764705882352,17
26,3.0303030303030303,33
27,27.27272727272727,22
28,100.0,23
29,0.0,27
30,0.0,66
31,96.42857142857143,28
32,95.45454545454545,22
33,90.47619047619048,42
34,89.28571428571429,28
35,100.0,20
36,67.85714285714286,28
