ClassID,ClassName
0,M58-Encoder側走行機身
1,M58-FORK定位固定片
2,M58-FORK定位檢知片
3,M58-FORK驅動軸心
4,M58-Fork機身-1
5,M58-Fork機身-2
6,M58-Fork馬達固定板
7,M58-下封板
8,M58-下方護蓋1(從動側)
9,M58-乘載板
10,M58-乘載板導條
11,M58-側邊導輪固定座擋塊
12,M58-側邊導輪固定板
13,M58-加熱器固定板
14,M58-封板支撐柱
15,M58-導向輪軸心
16,M58-從動側FORK機身
17,M58-從動側走行機身
18,M58-拖鏈封蓋
19,M58-擺臂下擋塊
20,M58-擺臂部檢知管
21,M58-擺臂部軸心
22,M58-擺臂部軸承座
23,M58-擺臂部馬達固定座
24,M58-毛刷
25,M58-毛刷連接板
26,M58-煞車電阻盤
27,M58-皮帶拖板
28,M58-皮帶支撐片
29,M58-調整螺絲固定塊
30,M58-走行從動輪固定座
31,M58-走行馬達固定座
32,M58-走行馬達套管
33,M58-車身連接補強鋁擠型
34,M58-電池固定架1
35,M58-電池固定架2
36,M58-驅動側外殼
