Class,Accuracy (%),Total Samples
0,60.78431372549019,51
1,100.0,15
2,100.0,15
3,13.88888888888889,36
4,14.814814814814813,27
5,0.0,38
6,58.97435897435898,39
7,0.0,31
8,0.0,30
9,75.60975609756098,41
10,0.0,39
11,100.0,21
12,91.66666666666666,12
13,100.0,25
14,35.714285714285715,14
15,96.0,25
16,57.89473684210527,38
17,80.0,30
18,0.0,58
19,0.0,26
20,68.42105263157895,19
21,100.0,25
22,0.0,30
23,100.0,27
24,80.0,15
25,88.23529411764706,17
26,6.0606060606060606,33
27,40.909090909090914,22
28,100.0,23
29,0.0,27
30,0.0,66
31,67.85714285714286,28
32,95.45454545454545,22
33,85.71428571428571,42
34,89.28571428571429,28
35,95.0,20
36,64.28571428571429,28
