Class,Accuracy (%),Total Samples
0,54.90196078431373,51
1,46.666666666666664,15
2,73.33333333333333,15
3,19.444444444444446,36
4,14.814814814814813,27
5,18.421052631578945,38
6,20.51282051282051,39
7,9.67741935483871,31
8,3.3333333333333335,30
9,78.04878048780488,41
10,0.0,39
11,90.47619047619048,21
12,83.33333333333334,12
13,100.0,25
14,35.714285714285715,14
15,44.0,25
16,57.89473684210527,38
17,76.66666666666667,30
18,0.0,58
19,0.0,26
20,10.526315789473683,19
21,100.0,25
22,0.0,30
23,92.5925925925926,27
24,13.333333333333334,15
25,88.23529411764706,17
26,15.151515151515152,33
27,40.909090909090914,22
28,65.21739130434783,23
29,0.0,27
30,0.0,66
31,46.42857142857143,28
32,81.81818181818183,22
33,19.047619047619047,42
34,92.85714285714286,28
35,100.0,20
36,60.71428571428571,28
