Class,Accuracy (%),Total Samples
0,52.94117647058824,51
1,40.0,15
2,53.333333333333336,15
3,41.66666666666667,36
4,14.814814814814813,27
5,23.684210526315788,38
6,25.64102564102564,39
7,32.25806451612903,31
8,56.666666666666664,30
9,51.21951219512195,41
10,2.564102564102564,39
11,52.38095238095239,21
12,91.66666666666666,12
13,100.0,25
14,35.714285714285715,14
15,56.00000000000001,25
16,57.89473684210527,38
17,66.66666666666666,30
18,3.4482758620689653,58
19,0.0,26
20,15.789473684210526,19
21,100.0,25
22,0.0,30
23,70.37037037037037,27
24,13.333333333333334,15
25,76.47058823529412,17
26,15.151515151515152,33
27,27.27272727272727,22
28,13.043478260869565,23
29,0.0,27
30,3.0303030303030303,66
31,53.57142857142857,28
32,45.45454545454545,22
33,26.190476190476193,42
34,92.85714285714286,28
35,100.0,20
36,21.428571428571427,28
