CLIP Pseudo-label 錯誤樣本分析
====================================================================================================

整體準確率: 84.26% (14884/17664)
錯誤樣本數: 2780/17664

====================================================================================================

錯誤樣本詳細資訊:
----------------------------------------------------------------------------------------------------
Idx    信心度        真實類別                                預測類別                                路徑
----------------------------------------------------------------------------------------------------
277    0.2010     M58-FORK定位固定片                       M58-SENSOR固定片(減速、急停)                data/M58/CAD_ratioFilter/M58-FORK定位固定片/130_0.3122812933941678M58-FORK定位固定片_90Axis_68degree.jpg
368    0.1348     M58-FORK定位固定片                       M58-時規皮帶輪調整座                        data/M58/CAD_ratioFilter/M58-FORK定位固定片/212_0.24306883554850228M58-FORK定位固定片_0Axis_192degree.jpg
651    0.1892     M58-FORK定位檢知片                       M58-皮帶輪固定塊                          data/M58/CAD_ratioFilter/M58-FORK定位檢知片/92_0.24694703431858758M58-FORK定位檢知片_315Axis_68degree.jpg
662    0.1678     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/102_0.02635588176949018M58-FORK拖鏈支撐板_45Axis_308degree.jpg
666    0.1761     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/106_0.026242808966474906M58-FORK拖鏈支撐板_315Axis_48degree.jpg
667    0.1559     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/107_0.02622495536599881M58-FORK拖鏈支撐板_90Axis_156degree.jpg
671    0.2188     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/110_0.026153540964094425M58-FORK拖鏈支撐板_45Axis_280degree.jpg
684    0.1719     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/122_0.025818290021821066M58-FORK拖鏈支撐板_45Axis_312degree.jpg
693    0.2402     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/130_0.025687363618329698M58-FORK拖鏈支撐板_45Axis_276degree.jpg
695    0.1903     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/132_0.02560007934933545M58-FORK拖鏈支撐板_90Axis_304degree.jpg
697    0.1749     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/134_0.025548502281293396M58-FORK拖鏈支撐板_315Axis_44degree.jpg
701    0.1989     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/138_0.025425510811346953M58-FORK拖鏈支撐板_315Axis_228degree.jpg
709    0.1654     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/145_0.025308470541559214M58-FORK拖鏈支撐板_45Axis_316degree.jpg
713    0.1695     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/149_0.025211267605633803M58-FORK拖鏈支撐板_315Axis_40degree.jpg
715    0.1793     M58-FORK拖鏈支撐板                       M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/150_0.025068438801825035M58-FORK拖鏈支撐板_90Axis_192degree.jpg
720    0.2183     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/155_0.025008926800238047M58-FORK拖鏈支撐板_315Axis_260degree.jpg
730    0.1759     M58-FORK拖鏈支撐板                       M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/164_0.024741122793096607M58-FORK拖鏈支撐板_90Axis_12degree.jpg
731    0.1804     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/165_0.024657805990874828M58-FORK拖鏈支撐板_315Axis_224degree.jpg
739    0.1717     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/172_0.024453481452092838M58-FORK拖鏈支撐板_315Axis_220degree.jpg
744    0.1694     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/177_0.024161872644316604M58-FORK拖鏈支撐板_45Axis_320degree.jpg
745    0.1690     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/178_0.024155921444157905M58-FORK拖鏈支撐板_45Axis_324degree.jpg
757    0.1670     M58-FORK拖鏈支撐板                       M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/189_0.023693711565165643M58-FORK拖鏈支撐板_90Axis_160degree.jpg
759    0.2079     M58-FORK拖鏈支撐板                       M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/190_0.02365205316405475M58-FORK拖鏈支撐板_90Axis_188degree.jpg
760    0.1731     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/191_0.023580638762150368M58-FORK拖鏈支撐板_315Axis_216degree.jpg
761    0.1762     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/192_0.023497321959928586M58-FORK拖鏈支撐板_315Axis_36degree.jpg
763    0.1591     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/194_0.02317794088474509M58-FORK拖鏈支撐板_45Axis_24degree.jpg
764    0.1687     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/195_0.023168022217813927M58-FORK拖鏈支撐板_45Axis_328degree.jpg
765    0.1739     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/196_0.023134298750247966M58-FORK拖鏈支撐板_315Axis_212degree.jpg
768    0.1626     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/199_0.02302122594723269M58-FORK拖鏈支撐板_315Axis_160degree.jpg
777    0.2271     M58-FORK拖鏈支撐板                       M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/206_0.02237452886332077M58-FORK拖鏈支撐板_90Axis_168degree.jpg
779    0.2413     M58-FORK拖鏈支撐板                       M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/208_0.02231501686173378M58-FORK拖鏈支撐板_90Axis_4degree.jpg
780    0.1834     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/209_0.02227732592739536M58-FORK拖鏈支撐板_45Axis_196degree.jpg
782    0.2246     M58-FORK拖鏈支撐板                       M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/210_0.022243602459829398M58-FORK拖鏈支撐板_90Axis_8degree.jpg
783    0.1738     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/211_0.022116643523110494M58-FORK拖鏈支撐板_45Axis_332degree.jpg
784    0.2100     M58-FORK拖鏈支撐板                       M58-機身中牽-3                          data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/212_0.022088871255703232M58-FORK拖鏈支撐板_90Axis_164degree.jpg
785    0.1597     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/213_0.022078952588772068M58-FORK拖鏈支撐板_45Axis_20degree.jpg
786    0.1904     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/214_0.022074985121999603M58-FORK拖鏈支撐板_315Axis_344degree.jpg
787    0.1642     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/215_0.02196984725252926M58-FORK拖鏈支撐板_315Axis_208degree.jpg
788    0.1653     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/216_0.021963896052370563M58-FORK拖鏈支撐板_45Axis_336degree.jpg
790    0.1449     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/218_0.02188653045030748M58-FORK拖鏈支撐板_315Axis_164degree.jpg
791    0.1895     M58-FORK拖鏈支撐板                       M58-FORK拖鏈支撐板-2                     data/M58/CAD_ratioFilter/M58-FORK拖鏈支撐板/219_0.0217913112477683M58-FORK拖鏈支撐板_315Axis_348degree.jpg
