epoch,train_loss,train_acc,val_acc
1,3.743737,5.7876,8.2645
2,1.292749,63.9252,78.2763
3,0.721028,79.3153,80.4014
4,0.603620,82.2599,81.3459
5,0.499207,86.3069,84.6517
6,0.437512,87.3803,84.4156
7,0.416204,88.4392,81.1098
8,0.381542,89.2515,87.8394
9,0.345383,90.1218,86.0685
10,0.328285,90.2379,88.9020
11,0.305678,91.2678,89.1381
12,0.297468,91.6594,89.6104
13,0.292308,91.8770,89.4923
14,0.250232,93.1390,88.4298
15,0.251479,92.6168,85.8323
16,0.240701,93.2260,89.0201
17,0.235182,93.5596,88.7839
18,0.245095,93.1680,90.3188
19,0.219992,93.4291,89.9646
20,0.197035,94.5170,91.2633
21,0.203297,94.3429,90.7910
22,0.190188,94.6185,91.1452
23,0.193755,94.5605,90.2007
24,0.162679,95.9385,91.1452
25,0.156638,95.7064,93.1523
26,0.162422,95.4888,91.1452
27,0.162505,95.2858,91.3813
28,0.151137,95.9095,90.9091
29,0.129343,96.8088,92.3259
30,0.130195,96.7653,93.0342
31,0.125331,96.6202,92.3259
32,0.119336,96.7508,93.3884
33,0.118430,96.8088,93.7426
34,0.102521,97.2730,93.3884
35,0.097549,97.7517,93.5065
36,0.102082,97.3600,92.2078
37,0.093417,97.7807,92.2078
38,0.091789,97.7662,93.8607
39,0.082592,98.2158,93.3884
40,0.082539,98.0853,94.0968
41,0.084139,98.2158,94.0968
42,0.078874,98.2449,93.8607
43,0.080766,98.2013,94.0968
44,0.074277,98.3754,94.2149
45,0.070486,98.3754,93.8607
46,0.069504,98.4914,94.5691
47,0.073858,98.2739,94.2149
48,0.067187,98.6510,94.5691
49,0.072225,98.3174,94.0968
50,0.068291,98.5640,94.8052
