epoch,train_loss,train_acc,val_acc
1,0.378993,87.3206,57.2850
2,0.141467,95.2538,60.5348
3,0.089082,96.7375,62.7537
4,0.081827,97.0131,59.7332
5,0.078196,97.1830,60.5835
6,0.076987,97.1686,62.7591
7,0.075959,97.2690,57.1532
8,0.075444,97.2900,58.2635
9,0.075199,97.2657,56.6603
10,0.074497,97.2749,57.2164
11,0.073727,97.3687,63.8532
12,0.073131,97.3490,56.6693
13,0.070315,97.4776,58.6174
14,0.070602,97.3917,62.4756
15,0.070761,97.4855,56.6801
16,0.067604,97.5859,57.0882
17,0.065778,97.6332,60.5637
18,0.066660,97.5564,60.1574
19,0.064786,97.6752,60.6052
20,0.064146,97.6942,60.3019
21,0.062052,97.7545,48.9059
22,0.060302,97.8280,58.1570
23,0.059602,97.8517,53.8221
24,0.057842,97.9094,59.3775
25,0.056280,97.9271,58.2870
26,0.055177,98.0013,54.2320
27,0.053369,98.0439,52.9790
28,0.050916,98.1686,55.5933
29,0.050055,98.1948,62.6489
30,0.046565,98.3051,61.2208
31,0.046428,98.3235,50.7511
32,0.041860,98.5078,57.9747
33,0.040499,98.5183,56.8661
34,0.037791,98.6371,58.2996
35,0.037558,98.6351,59.3793
36,0.034700,98.7539,54.3222
37,0.031580,98.8530,55.0661
38,0.029213,98.9534,58.2039
39,0.026991,99.0275,55.7485
40,0.023444,99.1791,57.0196
41,0.022396,99.1876,54.6617
42,0.019535,99.3038,55.5138
43,0.016644,99.4180,50.1228
44,0.015125,99.4593,53.6073
45,0.013140,99.5302,51.5021
46,0.009843,99.6706,51.9715
47,0.009553,99.6903,52.6468
48,0.008343,99.7146,51.4389
49,0.007733,99.7395,50.4676
50,0.006962,99.7625,49.5071
