epoch,train_loss,train_acc,val_acc
1,0.413819,86.2012,91.5671
2,0.139281,95.1155,96.9681
3,0.091904,96.6510,97.4865
4,0.083001,96.9897,97.7294
5,0.079478,97.1136,97.2700
6,0.079097,97.1874,97.5653
7,0.075704,97.2538,97.9065
8,0.077203,97.2096,97.9525
9,0.075839,97.2342,97.0534
10,0.074681,97.3170,97.7753
11,0.073332,97.3597,98.0641
12,0.074029,97.3154,97.5915
13,0.071446,97.4040,97.5128
14,0.071036,97.4302,97.3553
15,0.067990,97.5139,97.0731
16,0.068251,97.5122,98.0575
17,0.066390,97.5992,98.1559
18,0.065991,97.6271,98.2084
19,0.066074,97.5803,97.5784
20,0.063820,97.7189,96.9222
21,0.062448,97.7452,97.9919
22,0.059655,97.8600,98.2150
23,0.059845,97.8198,97.5915
24,0.057345,97.9478,96.9287
25,0.055928,97.9781,98.4709
26,0.054082,98.0708,98.2019
27,0.052109,98.1151,98.4119
28,0.050984,98.1487,98.2675
29,0.048499,98.2225,98.8647
30,0.046441,98.3259,98.8319
31,0.044437,98.3907,98.7400
32,0.042395,98.5334,98.7859
33,0.040876,98.5203,98.2806
34,0.037860,98.6417,98.6416
35,0.037059,98.6679,98.7991
36,0.033235,98.8221,98.6481
37,0.030788,98.8820,99.2059
38,0.028452,98.9706,99.1469
39,0.026791,99.0469,99.3634
40,0.023754,99.1683,99.3044
41,0.021688,99.2355,99.2125
42,0.019615,99.2971,99.4422
43,0.016400,99.3947,99.5603
44,0.015311,99.4972,99.6522
45,0.013047,99.5300,99.6522
46,0.010349,99.6235,99.7703
47,0.009815,99.6727,99.7112
48,0.008485,99.7211,99.7900
49,0.007016,99.7728,99.8294
50,0.007210,99.7506,99.8031
