class_id,class_name,total_imgNum,top1_correct,top1_acc
0,M58-Encoder側走行機身,200,8,4.00%
1,M58-FORK定位固定片,200,3,1.50%
2,M58-FORK定位檢知片,200,0,0.00%
3,M58-FORK拖鏈支撐板,200,27,13.50%
4,M58-FORK拖鏈支撐板-2,200,28,14.00%
5,M58-FORK驅動軸心,200,37,18.50%
6,M58-Fork機身-1,200,1,0.50%
7,M58-Fork機身-2,200,2,1.00%
8,M58-Fork機身連接板,200,9,4.50%
9,M58-Fork馬達固定板,200,2,1.00%
10,M58-SENSOR固定片(減速、急停),200,19,9.50%
11,M58-SENSOR固定片(減速、急停)-2,200,0,0.00%
12,M58-下封板,200,9,4.50%
13,M58-下方護蓋1(從動側),200,38,19.00%
14,M58-下方護蓋1(驅動側),200,5,2.50%
15,M58-中牽夾具,200,2,1.00%
16,M58-中牽夾具-2-A,200,1,0.50%
17,M58-乘載板,200,0,0.00%
18,M58-乘載板-2,200,0,0.00%
19,M58-乘載板固定座,200,1,0.50%
20,M58-乘載板導條,200,16,8.00%
21,M58-側邊導輪固定座擋塊,200,66,33.00%
22,M58-側邊導輪固定板,200,0,0.00%
23,M58-側邊導輪固定板2,200,5,2.50%
24,M58-加熱器固定板,200,43,21.50%
25,M58-在席檢固定片,200,10,5.00%
26,M58-壓板調整座,200,0,0.00%
27,M58-封板固定座-1,200,15,7.50%
28,M58-封板固定座-2,200,6,3.00%
29,M58-封板支撐柱,200,72,36.00%
30,M58-導向輪軸心,200,54,27.00%
31,M58-庫格檢固定片,200,21,10.50%
32,M58-庫格檢轉接片,200,5,2.50%
33,M58-從動側FORK機身,200,24,12.00%
34,M58-從動側固定板,200,2,1.00%
35,M58-從動側外殼,200,0,0.00%
36,M58-從動側走行機身,200,0,0.00%
37,M58-拖鏈封蓋,200,0,0.00%
38,M58-擺臂,200,7,3.50%
39,M58-擺臂下擋塊,200,103,51.50%
40,M58-擺臂部檢知管,200,0,0.00%
41,M58-擺臂部軸心,200,1,0.50%
42,M58-擺臂部軸承座,200,8,4.00%
43,M58-擺臂部馬達固定座,200,5,2.50%
44,M58-擺臂門型開關固定片,200,3,1.50%
45,M58-擺臂門型開關固定片-1,200,0,0.00%
46,M58-支撐固定座,200,1,0.50%
47,M58-時規皮帶上壓板-1,200,2,1.00%
48,M58-時規皮帶下壓板-1,200,0,0.00%
49,M58-時規皮帶下壓板-2,200,32,16.00%
50,M58-時規皮帶輪調整座,200,30,15.00%
51,M58-時規皮帶齒條,200,7,3.50%
52,M58-條碼Sensor固定片,200,9,4.50%
53,M58-條碼Sensor固定轉接片,200,0,0.00%
54,M58-機身下固定板,200,2,1.00%
55,M58-機身中牽-3,200,1,0.50%
56,M58-毛刷,200,0,0.00%
57,M58-毛刷連接板,200,7,3.50%
58,M58-毛刷連接板-1,200,4,2.00%
59,M58-滑軌墊片,200,26,13.00%
60,M58-煞車電阻盤,200,16,8.00%
61,M58-皮帶拖板,200,2,1.00%
62,M58-皮帶支撐片,200,0,0.00%
63,M58-皮帶輪固定塊,200,2,1.00%
64,M58-調整座牙片,200,5,2.50%
65,M58-調整螺絲固定塊,200,1,0.50%
66,M58-走行從動輪固定座,200,14,7.00%
67,M58-走行馬達固定座,200,6,3.00%
68,M58-走行馬達固定座牙片,200,31,15.50%
69,M58-走行馬達套管,200,6,3.00%
70,M58-走行驅動軸心,200,2,1.00%
71,M58-車身連接補強鋁擠型,200,39,19.50%
72,M58-選擇開關固定板,200,27,13.50%
73,M58-集電臂固定座,200,0,0.00%
74,M58-集電軌側走行機身,200,1,0.50%
75,M58-電池固定架1,200,1,0.50%
76,M58-電池固定架2,200,83,41.50%
77,M58-驅動側FORK機身,200,4,2.00%
78,M58-驅動側外殼,200,9,4.50%
,Average,15800,1028,6.51%
