,M58-Encoder側走行機身,M58-FORK定位固定片,M58-FORK定位檢知片,M58-FORK拖鏈支撐板,M58-FORK拖鏈支撐板-2,M58-FORK驅動軸心,M58-Fork機身-1,M58-Fork機身-2,M58-Fork機身連接板,M58-Fork馬達固定板,M58-SENSOR固定片(減速、急停),M58-SENSOR固定片(減速、急停)-2,M58-下封板,M58-下方護蓋1(從動側),M58-下方護蓋1(驅動側),M58-中牽夾具,M58-中牽夾具-2-A,M58-乘載板,M58-乘載板-2,M58-乘載板固定座,M58-乘載板導條,M58-側邊導輪固定座擋塊,M58-側邊導輪固定板,M58-側邊導輪固定板2,M58-加熱器固定板,M58-在席檢固定片,M58-壓板調整座,M58-封板固定座-1,M58-封板固定座-2,M58-封板支撐柱,M58-導向輪軸心,M58-庫格檢固定片,M58-庫格檢轉接片,M58-從動側FORK機身,M58-從動側固定板,M58-從動側外殼,M58-從動側走行機身,M58-拖鏈封蓋,M58-擺臂,M58-擺臂下擋塊,M58-擺臂部檢知管,M58-擺臂部軸心,M58-擺臂部軸承座,M58-擺臂部馬達固定座,M58-擺臂門型開關固定片,M58-擺臂門型開關固定片-1,M58-支撐固定座,M58-時規皮帶上壓板-1,M58-時規皮帶下壓板-1,M58-時規皮帶下壓板-2,M58-時規皮帶輪調整座,M58-時規皮帶齒條,M58-條碼Sensor固定片,M58-條碼Sensor固定轉接片,M58-機身下固定板,M58-機身中牽-3,M58-毛刷,M58-毛刷連接板,M58-毛刷連接板-1,M58-滑軌墊片,M58-煞車電阻盤,M58-皮帶拖板,M58-皮帶支撐片,M58-皮帶輪固定塊,M58-調整座牙片,M58-調整螺絲固定塊,M58-走行從動輪固定座,M58-走行馬達固定座,M58-走行馬達固定座牙片,M58-走行馬達套管,M58-走行驅動軸心,M58-車身連接補強鋁擠型,M58-選擇開關固定板,M58-集電臂固定座,M58-集電軌側走行機身,M58-電池固定架1,M58-電池固定架2,M58-驅動側FORK機身,M58-驅動側外殼
M58-Encoder側走行機身,8,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,17,0,0,0,0,0,0,16,0,0,0,0,4,0,14,0,0,0,2,1,15,0,0,0,0,7,8,0,0,0,0,0,0,0,13,0,0,0,9,0,0,1,0,0,41,0,0
M58-FORK定位固定片,0,3,0,0,5,0,0,0,0,0,11,0,0,3,7,0,2,0,0,0,0,0,0,0,0,1,0,0,15,0,0,5,6,0,0,0,0,0,0,1,0,0,0,0,2,0,18,0,0,0,0,0,20,0,3,0,0,1,15,0,0,0,0,0,0,0,2,0,0,0,18,0,9,0,0,0,53,0,0
M58-FORK定位檢知片,1,0,0,0,2,0,0,0,0,0,12,0,0,1,0,3,7,0,0,0,0,0,0,0,0,1,5,1,0,0,0,2,72,0,0,0,0,0,0,32,0,0,6,0,3,0,2,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,15,0,0,0,1,0,9,0,0,1,16,0,0
M58-FORK拖鏈支撐板,0,0,0,27,15,8,0,0,0,0,0,0,1,16,2,2,1,0,0,0,20,0,0,0,0,0,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,8,0,1,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1
M58-FORK拖鏈支撐板-2,0,0,0,27,28,24,1,0,0,0,0,0,0,0,3,0,6,0,0,0,11,0,1,0,0,0,0,0,6,58,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,14,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0
M58-FORK驅動軸心,0,0,0,8,21,37,0,0,3,0,1,0,0,3,1,0,8,0,0,0,1,0,0,0,0,0,0,0,2,5,2,1,3,0,0,0,0,1,0,12,0,0,0,0,1,0,3,0,0,0,0,19,0,0,0,4,0,0,0,25,0,0,0,0,0,0,5,0,0,15,6,0,0,0,0,0,13,0,0
M58-Fork機身-1,0,0,0,27,0,0,1,0,3,0,6,0,1,8,0,1,0,0,0,0,9,0,0,0,11,0,5,0,0,37,0,0,0,2,1,0,0,0,0,4,0,0,0,0,1,0,3,2,2,3,0,1,0,0,0,0,0,0,3,0,7,0,0,0,8,0,9,0,29,0,2,0,1,8,0,0,5,0,0
M58-Fork機身-2,0,0,0,2,3,0,0,2,7,1,0,0,24,26,0,4,7,5,0,0,0,0,0,0,10,0,3,0,0,2,0,0,0,4,1,0,2,0,0,2,0,0,0,0,2,0,4,7,1,0,0,0,0,0,0,0,0,43,13,0,1,4,0,0,0,0,4,0,0,0,6,0,0,0,0,3,7,0,0
M58-Fork機身連接板,0,0,0,12,1,20,14,3,9,0,0,0,3,2,0,0,2,0,0,0,38,0,0,0,2,0,0,0,2,23,0,0,0,0,0,0,0,0,0,2,0,1,0,0,6,0,0,1,1,0,0,1,0,0,0,1,0,21,3,11,3,0,4,0,0,0,1,0,2,0,5,0,0,0,0,0,6,0,0
M58-Fork馬達固定板,2,0,0,0,1,0,0,0,0,2,8,0,0,9,1,8,8,0,0,0,0,0,0,0,0,0,5,1,1,0,0,12,22,2,0,0,0,0,0,19,0,0,0,0,3,0,13,0,0,0,0,0,1,0,3,0,0,6,6,0,0,0,0,0,0,1,10,1,0,0,6,0,1,0,1,4,30,0,13
M58-SENSOR固定片(減速、急停),0,0,0,0,0,0,0,0,0,0,19,0,2,12,0,4,3,0,0,4,0,0,0,0,1,7,0,6,7,0,0,12,2,1,0,0,0,0,0,17,0,0,2,0,1,0,1,0,0,0,6,2,0,0,0,0,0,2,0,0,3,1,0,0,0,0,3,0,0,0,1,0,2,0,0,0,76,0,3
M58-SENSOR固定片(減速、急停)-2,2,0,0,0,18,0,0,0,0,0,0,0,16,15,1,4,5,0,0,0,0,0,0,8,0,3,0,0,0,0,0,4,0,0,1,0,0,0,0,57,0,0,0,0,4,0,4,3,0,0,0,3,0,0,0,0,0,1,1,0,0,4,0,0,0,1,1,0,0,0,16,0,0,0,0,0,25,0,3
M58-下封板,1,0,0,0,3,0,0,0,4,0,4,0,9,29,3,14,4,1,0,0,0,19,0,0,11,0,0,0,0,0,0,1,0,2,0,0,0,0,0,32,0,0,2,0,0,0,6,0,5,0,0,0,0,0,0,0,0,3,2,0,6,0,0,0,0,3,15,0,2,0,5,0,10,1,0,0,2,0,1
M58-下方護蓋1(從動側),0,0,0,7,35,0,1,0,0,0,0,0,1,38,12,3,6,0,0,0,1,0,0,4,0,0,0,0,2,25,0,0,3,5,0,0,0,0,0,30,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,9,0,2
M58-下方護蓋1(驅動側),2,0,0,5,16,0,0,0,1,0,0,0,2,30,5,1,6,0,0,0,6,0,0,0,0,0,0,0,4,15,0,3,0,4,0,0,0,0,0,54,0,0,0,0,0,0,4,0,0,1,0,2,1,0,0,0,0,2,2,0,1,3,0,0,0,4,0,0,0,0,3,0,3,0,0,0,16,0,4
M58-中牽夾具,0,0,0,0,0,0,0,2,1,0,12,0,5,13,0,2,2,0,0,1,0,0,0,0,5,27,1,0,0,0,0,1,0,0,2,0,0,0,0,9,0,0,0,0,1,0,2,4,0,0,6,0,0,0,3,0,0,15,7,0,3,4,0,3,0,0,12,0,0,0,21,0,8,0,0,0,28,0,0
M58-中牽夾具-2-A,0,0,0,0,2,0,0,0,1,0,12,0,3,11,0,11,1,0,0,0,0,0,0,0,0,28,0,1,0,0,0,4,2,1,1,0,0,0,0,6,0,0,0,0,0,0,1,5,1,0,1,0,0,0,4,0,0,14,3,0,4,7,0,0,0,0,6,0,0,0,23,0,2,0,0,1,43,0,1
M58-乘載板,0,0,0,1,6,0,1,1,3,0,5,0,5,32,1,5,8,0,0,0,1,0,0,0,0,0,1,0,0,2,0,4,1,9,0,0,1,0,0,13,0,0,0,0,1,0,7,3,0,0,0,0,3,0,1,0,0,3,12,0,4,9,0,0,0,0,0,0,0,0,1,0,3,0,0,0,42,4,7
M58-乘載板-2,1,0,0,0,3,0,0,0,0,1,4,0,2,25,1,6,4,0,0,0,0,1,0,1,2,0,1,1,1,0,0,3,2,4,1,0,2,0,0,32,0,0,0,0,3,0,9,0,0,0,0,0,5,0,0,0,0,6,6,0,4,3,0,0,0,0,7,0,7,0,0,0,1,0,0,2,41,0,8
M58-乘載板固定座,0,0,0,0,8,0,0,0,0,0,27,0,0,3,0,12,7,0,0,1,0,0,0,0,0,0,3,6,13,0,0,4,6,0,0,0,0,0,0,2,0,0,2,0,1,0,2,0,0,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,28,0,0,0,51,0,2
M58-乘載板導條,0,0,0,8,9,11,1,0,1,0,1,0,0,11,7,11,4,0,0,1,16,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,1,2,0,4,1,6,2,0,0,0,0,0,34,0,0,0,2,0,2,0,0,0,16,0,0
M58-側邊導輪固定座擋塊,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,12,0,0,0,0,0,66,0,0,0,0,1,10,0,0,0,3,6,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,2,0,0
M58-側邊導輪固定板,0,0,0,0,25,0,2,0,0,0,14,0,0,5,3,4,3,0,1,0,0,0,0,2,0,2,0,0,0,0,0,6,0,0,1,0,0,0,0,11,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,3,0,0,0,9,29,0,0,0,2,0,7,0,0,0,43,0,0
M58-側邊導輪固定板2,0,0,0,0,41,0,0,0,0,1,9,0,0,4,0,3,6,0,0,0,0,7,0,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,0,14,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,19,0,0,0,2,10,0,0,3,0,0,5,0,0,0,16,0,1
M58-加熱器固定板,0,0,0,0,6,0,0,0,0,0,0,0,5,76,0,16,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5,0,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,7
M58-在席檢固定片,0,0,0,0,4,0,0,0,0,0,12,0,0,7,0,7,3,0,0,0,0,0,0,0,0,10,0,1,6,0,0,16,0,1,0,0,0,0,0,39,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,3,0,0,0,0,0,6,0,0,0,1,0,1,0,0,2,68,0,4
M58-壓板調整座,0,0,0,0,8,0,0,0,0,1,6,0,1,25,0,7,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,8,0,3,2,0,0,0,0,54,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,5,0,0,0,0,0,9,0,0,5,1,0,0,0,0,2,30,2,17
M58-封板固定座-1,0,0,0,0,1,0,0,0,0,2,41,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,4,15,8,2,0,1,12,0,0,0,0,0,4,1,0,0,1,0,3,0,10,0,0,0,17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,22,0,0,0,41,0,0
M58-封板固定座-2,0,0,0,1,0,0,1,0,0,0,39,0,0,5,0,18,1,0,0,0,2,0,0,0,0,0,2,0,6,6,0,1,0,0,0,0,0,0,1,2,0,0,2,0,5,0,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,31,0,0,1,41,0,3
M58-封板支撐柱,0,0,0,20,27,0,2,0,0,0,0,0,1,10,0,1,2,0,0,0,18,0,0,0,1,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,3,0,4,1,3,0,7,0,0,0,2,0,3,0,1,0,0,0,8,0,0
M58-導向輪軸心,2,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,54,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,59,0,0,15,0,0,3,0,0,0,13,0,0
M58-庫格檢固定片,0,0,0,0,1,0,0,0,0,1,16,0,0,16,0,13,1,0,0,1,0,0,0,0,0,0,1,6,4,0,0,21,4,0,1,0,0,0,0,35,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,2,5,0,1,0,0,0,0,2,11,0,0,0,1,0,7,0,0,3,40,0,2
M58-庫格檢轉接片,0,0,0,0,0,0,0,0,0,1,21,0,0,2,0,2,1,0,0,0,0,0,0,0,0,2,0,2,2,0,0,17,5,0,0,0,0,0,0,1,0,0,1,0,4,0,1,0,0,0,3,0,3,0,0,0,0,0,4,0,1,0,0,0,0,0,5,0,0,0,0,0,4,0,0,1,112,0,5
M58-從動側FORK機身,1,0,0,0,4,0,0,0,0,2,0,0,21,86,0,27,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,24,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,8,0,2,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,2,1
M58-從動側固定板,0,0,0,0,1,0,0,0,0,2,43,0,0,4,0,11,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,1,1,2,0,0,0,0,46,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,18,0,0,0,3,0,13,0,0,0,31,0,4
M58-從動側外殼,0,0,0,13,62,0,1,0,0,0,0,0,0,21,8,1,0,0,0,0,6,0,0,1,0,0,0,0,2,31,0,4,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,9,0,0,0,3,1,0,0,0,1,0,1,0,0,0,8,0,1
M58-從動側走行機身,0,0,0,0,2,0,0,0,0,0,0,0,12,46,0,16,6,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,4,0,36,7,0,0,4,8,0,0,3,0,8,0,0,2,0,0,10,8,0
